"","rotten_tomatoes_link","movie_title","content_rating","genres","original_release_date","streaming_release_date","runtime","tomatometer_status","tomatometer_rating","audience_status","audience_rating"
"1","m/0814255","Percy Jackson & the Olympians: The Lightning Thief","PG","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy","2010-02-12","2015-11-25",119,"Rotten",49,"Spilled",53
"2","m/0878835","Please Give","R","Comedy","2010-04-30","2012-09-04",90,"Certified-Fresh",87,"Upright",64
"3","m/10","10","R","Comedy, Romance","1979-10-05","2014-07-24",122,"Fresh",67,"Spilled",53
"4","m/1000013-12_angry_men","12 Angry Men (Twelve Angry Men)","NR","Classics, Drama","1957-04-13","2017-01-13",95,"Certified-Fresh",100,"Upright",97
"5","m/1000079-20000_leagues_under_the_sea","20,000 Leagues Under The Sea","G","Action & Adventure, Drama, Kids & Family","1954-01-01","2016-06-10",127,"Fresh",89,"Upright",74
"6","m/10000_bc","10,000 B.C.","PG-13","Action & Adventure, Classics, Drama","2008-03-07","2013-06-22",109,"Rotten",8,"Spilled",37
"7","m/1000121-39_steps","The 39 Steps","NR","Action & Adventure, Classics, Mystery & Suspense","1935-08-01","2017-01-12",80,"Certified-Fresh",96,"Upright",86
"8","m/1000123-310_to_yuma","3:10 to Yuma","NR","Classics, Drama, Western","1957-08-07","2012-04-16",92,"Fresh",96,"Upright",79
"9","m/10002008-charly","Charly (A Heartbeat Away)","PG","Comedy, Drama, Romance","2002-09-27","2017-05-22",103,"Rotten",20,"Upright",87
"10","m/1000204-abraham_lincoln","Abraham Lincoln","NR","Classics, Drama","1930-11-08","2013-12-03",97,"Fresh",82,"Spilled",40
"11","m/10002114-dark_water","Dark Water","PG-13","Art House & International, Horror, Mystery & Suspense","2002-01-19","2017-03-23",100,"Fresh",80,"Upright",66
"12","m/1000224-accused","The Accused","R","Drama, Mystery & Suspense","1988-10-14","2016-10-04",110,"Fresh",91,"Upright",79
"13","m/10002516-lost_city","The Lost City","R","Drama","2005-09-03","2017-03-23",143,"Rotten",25,"Upright",64
"14","m/10002519-breaking_point","The Breaking Point","NR","Drama","1950-10-06","2016-08-25",97,"Fresh",100,"Upright",86
"15","m/1000253-adams_rib","Adam's Rib","NR","Classics, Comedy, Romance","1949-11-18","2008-05-01",101,"Fresh",96,"Upright",86
"16","m/10002635-bridge_of_san_luis_rey","The Bridge of San Luis Rey","PG","Art House & International, Drama, Faith & Spirituality","2005-06-10","2014-07-24",124,"Rotten",4,"Spilled",35
"17","m/10002673-prowler","The Prowler (Cost of Living )","PG","Drama, Mystery & Suspense","1951-12-03","2016-12-05",92,"Fresh",100,"Upright",86
"18","m/10003276-criminal","Criminal","R","Drama, Mystery & Suspense","2004-09-24","2016-04-27",87,"Fresh",69,"Spilled",57
"19","m/1000334-adventures_of_mark_twain","The Adventures of Mark Twain","G","Action & Adventure, Animation, Kids & Family","1985-03-01","2017-02-04",86,"Fresh",80,"Upright",82
"20","m/10003437-deep_blue","Deep Blue","G","Documentary, Special Interest","2005-06-17","2016-12-07",90,"Fresh",67,"Upright",80
"21","m/1000355-adventures_of_robin_hood","The Adventures of Robin Hood","PG","Action & Adventure, Classics, Romance","1938-05-14","2014-01-23",102,"Certified-Fresh",100,"Upright",89
"22","m/10003876-man_hunt","Man Hunt","NR","Classics, Drama, Mystery & Suspense","1941-01-01","2014-03-01",100,"Fresh",92,"Upright",75
"23","m/10003925-dead_end","Dead End","R","Comedy, Horror, Mystery & Suspense","2003-09-26","2018-12-11",83,"Fresh",75,"Upright",60
"24","m/10004050-bandwagon","Bandwagon","R","Comedy","1997-09-12","",103,"Fresh",80,"Upright",91
"25","m/10004069-whore","Whore","R","Art House & International, Drama","2004-04-16","2014-02-04",77,"Rotten",0,"Upright",63
"26","m/10004209-tristan_and_isolde","Tristan & Isolde","PG-13","Drama, Science Fiction & Fantasy, Romance","2006-01-13","2015-11-25",126,"Rotten",31,"Upright",71
"27","m/10004226-wild_side","Wild Side","NR","Art House & International, Drama","2005-06-10","2005-10-25",94,"Fresh",63,"Upright",80
"28","m/10004232-10004232-tale_of_two_pizzas","A Tale of Two Pizzas","PG","Comedy","2003-11-07","2018-01-16",82,"Rotten",38,"",NA
"29","m/10004288-running_scared","Running Scared","R","Action & Adventure, Drama, Mystery & Suspense","2006-02-24","2008-10-01",121,"Rotten",41,"Upright",79
"30","m/10004352-going_the_distance","Going the Distance","R","Comedy","2004-08-20","2017-03-10",93,"Rotten",0,"Upright",61
"31","m/10004504-ultraviolet","Ultraviolet","PG-13","Action & Adventure, Drama, Horror, Science Fiction & Fantasy","2006-03-03","2012-04-16",88,"Rotten",8,"Spilled",30
"32","m/10004635-home_of_the_brave","Home of the Brave","R","Action & Adventure, Documentary, Drama, Special Interest","2004-05-11","2016-04-03",75,"Fresh",93,"Spilled",48
