"","X","movie_name","rating","types","year","duration","audience_rating","expert_rating"
"1",1,"PERCY JACKSON & THE OLYMPIANS: THE LIGHTNING THIEF","PG","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",2010,"1h59m",49,53
"2",2,"PLEASE GIVE","R","Comedy",2010,"1h30m",87,64
"3",3,"10","R","Comedy, Romance",1979,"2h2m",67,53
"4",4,"12 ANGRY MEN (TWELVE ANGRY MEN)","NR","Classics, Drama",1957,"1h35m",100,97
"5",5,"20,000 LEAGUES UNDER THE SEA","G","Action & Adventure, Drama, Kids & Family",1954,"2h7m",89,74
"6",6,"10,000 B.C.","PG-13","Action & Adventure, Classics, Drama",2008,"1h49m",8,37
"7",7,"THE 39 STEPS","NR","Action & Adventure, Classics, Mystery & Suspense",1935,"1h20m",96,86
"8",8,"3:10 TO YUMA","NR","Classics, Drama, Western",1957,"1h32m",96,79
"9",9,"CHARLY (A HEARTBEAT AWAY)","PG","Comedy, Drama, Romance",2002,"1h43m",20,87
"10",10,"ABRAHAM LINCOLN","NR","Classics, Drama",1930,"1h37m",82,40
"11",11,"DARK WATER","PG-13","Art House & International, Horror, Mystery & Suspense",2002,"1h40m",80,66
"12",12,"THE ACCUSED","R","Drama, Mystery & Suspense",1988,"1h50m",91,79
"13",13,"THE LOST CITY","R","Drama",2005,"2h23m",25,64
"14",14,"THE BREAKING POINT","NR","Drama",1950,"1h37m",100,86
"15",15,"ADAM'S RIB","NR","Classics, Comedy, Romance",1949,"1h41m",96,86
"16",16,"THE BRIDGE OF SAN LUIS REY","PG","Art House & International, Drama, Faith & Spirituality",2005,"2h4m",4,35
"17",17,"THE PROWLER (COST OF LIVING )","PG","Drama, Mystery & Suspense",1951,"1h32m",100,86
"18",18,"CRIMINAL","R","Drama, Mystery & Suspense",2004,"1h27m",69,57
"19",19,"THE ADVENTURES OF MARK TWAIN","G","Action & Adventure, Animation, Kids & Family",1985,"1h26m",80,82
"20",20,"DEEP BLUE","G","Documentary, Special Interest",2005,"1h30m",67,80
"21",21,"THE ADVENTURES OF ROBIN HOOD","PG","Action & Adventure, Classics, Romance",1938,"1h42m",100,89
"22",22,"MAN HUNT","NR","Classics, Drama, Mystery & Suspense",1941,"1h40m",92,75
"23",23,"DEAD END","R","Comedy, Horror, Mystery & Suspense",2003,"1h23m",75,60
"24",24,"BANDWAGON","R","Comedy",1997,"1h43m",80,91
"25",25,"WHORE","R","Art House & International, Drama",2004,"1h17m",0,63
"26",26,"TRISTAN & ISOLDE","PG-13","Drama, Science Fiction & Fantasy, Romance",2006,"2h6m",31,71
"27",27,"WILD SIDE","NR","Art House & International, Drama",2005,"1h34m",63,80
"28",28,"A TALE OF TWO PIZZAS","PG","Comedy",2003,"1h22m",38,NA
"29",29,"RUNNING SCARED","R","Action & Adventure, Drama, Mystery & Suspense",2006,"2h1m",41,79
"30",30,"GOING THE DISTANCE","R","Comedy",2004,"1h33m",0,61
"31",31,"ULTRAVIOLET","PG-13","Action & Adventure, Drama, Horror, Science Fiction & Fantasy",2006,"1h28m",8,30
"32",32,"HOME OF THE BRAVE","R","Action & Adventure, Documentary, Drama, Special Interest",2004,"1h15m",93,48
"33",33,"ARTHUR AND THE INVISIBLES (ARTHUR AND THE MINIMOYS)","PG","Animation, Kids & Family, Science Fiction & Fantasy",2007,"1h34m",22,56
"34",34,"MALEVOLENCE","R","Horror",2004,"1h30m",33,83
"35",35,"ETERNAL","R","Horror, Mystery & Suspense",2004,"1h48m",21,39
"36",36,"A FAREWELL TO ARMS","NR","Classics, Drama, Romance",1957,"2h30m",0,37
"37",37,"THE NARROW MARGIN","NR","Classics, Drama, Mystery & Suspense",1952,"1h11m",100,88
"38",38,"THE MATADOR","R","Action & Adventure, Comedy, Drama, Mystery & Suspense",2006,"1h37m",75,65
"39",39,"SMILE","PG-13","Art House & International, Comedy, Drama",2005,"1h47m",15,66
"40",40,"THE INTRUDER (L'INTRUS)","G","Art House & International, Drama",2005,"2h10m",87,73
"41",41,"SAINT RALPH","PG-13","Comedy, Drama",2005,"1h38m",64,85
"42",42,"THE BAXTER","PG-13","Comedy, Romance",2005,"1h31m",32,75
"43",43,"OLIVER TWIST","PG-13","Drama, Kids & Family",2005,"2h10m",61,63
"44",44,"THE ALAMO","NR","Action & Adventure, Classics, Drama, Western",1960,"3h12m",52,63
