"","movie_name","rating","year","types","duration","audience_rating","expert_rating"
"1","SHADOW IN THE CLOUD","R","2020"," Action/Horror"," 1h 23m","32","77"
"2","PIECES OF A WOMAN","R","2020"," Drama"," 2h 6m","84","75"
"3","BATMAN: SOUL OF THE DRAGON","R","2021"," Action/Adventure"," 1h 23m","68","93"
"4","BLOODY HELL","R","2020"," Horror/Comedy"," 1h 35m","80","91"
"5","LOCKDOWN","","2022"," Action/Mystery & thriller"," 1h 24m","",""
"6","OUTSIDE THE WIRE","R","2021"," Action/Sci-fi"," 1h 55m","55","37"
"7","THE MARKSMAN","","1953"," Western"," 1h 2m","",""
"8","NO MAN'S LAND","PG-13","2021"," Western/Drama"," 1h 55m","71","40"
"9","PENGUIN BLOOM","","2020"," Drama"," 1h 35m","69","67"
"10","FINDING 'OHANA","PG","2021"," Adventure/Action"," 2h 3m","82","82"
"11","PALMER","R","2021"," Drama"," 1h 51m","87","72"
"12","SUPERNOVA","R","2020"," Drama/Romance"," 1h 33m","69","90"
"13","THE LITTLE THINGS","PG-13","2006"," Drama"," 1h 30m","",""
"14","WENDY WILLIAMS: THE MOVIE","","2021"," Drama/Biography"," 1h 30m","89",""
"15","HELLKAT","","2021"," Action/Horror"," 1h 19m","",""
"16","BLISS","R","2021"," Sci-fi/Romance"," 1h 44m","43","28"
"17","FRAMING BRITNEY SPEARS","","2021"," Documentary"," 1h 35m","",""
"18","THE RECKONING","","2021"," Horror"," 1h 51m","28","20"
"19","MORE THAN MIYAGI: THE PAT MORITA STORY","","2021"," Documentary"," 1h 29m","94","100"
"20","LIFE IN A DAY 2020","","2021"," Documentary"," 1h 27m","","70"
"21","COURTING MOM AND DAD","","2021"," Comedy"," 1h 30m","",""
"22","BARB & STAR GO TO VISTA DEL MAR","PG-13","2021"," Comedy"," 1h 46m","59","79"
"23","DETECTIVE CHINATOWN 3","R","2020"," Comedy/Mystery & thriller"," 2h 16m","","60"
"24","JUDAS AND THE BLACK MESSIAH","R","2021"," History/Drama"," 2h 6m","95","97"
"25","MAN UNDER TABLE","","2021"," Comedy/Drama"," 1h 42m","",""
"26","MARVEL’S BEHIND THE MASK","","2021"," Documentary"," 1h 4m","62",""
"27","PARADISE COVE","","2021"," Mystery & thriller/Drama"," 1h 43m","","36"
"28","TO ALL THE BOYS: ALWAYS AND FOREVER","","2021"," Romance/Comedy"," 1h 49m","58","79"
